YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,7,9,4,WN,1017,N521SW,AUS,DAL,630,628,-2,13,641,60,57,40,189,721,4,730,725,-5,0,0,,,,,,
2015,4,19,7,AA,2211,N3GUAA,DFW,SNA,2113,2114,1,13,2127,192,182,164,1205,2211,5,2225,2216,-9,0,0,,,,,,
2015,2,3,2,AA,1483,N3HTAA,MIA,LGA,1610,1603,-7,9,1612,175,156,143,1096,1835,4,1905,1839,-26,0,0,,,,,,
2015,6,12,5,AS,794,N625AS,SEA,ABQ,1050,1048,-2,18,1106,209,167,142,1180,1428,7,1519,1435,-44,0,0,,,,,,
2015,7,7,2,AA,407,N559UW,PHL,ORD,745,750,5,17,807,144,144,112,678,859,15,909,914,5,0,0,,,,,,
2015,8,17,1,AA,193,N3GLAA,ORD,SFO,1207,1213,6,29,1242,286,319,288,1846,1530,2,1453,1532,39,0,0,,33,0,6,0,0
2015,11,18,3,DL,1235,N955AT,MDT,ATL,1210,1219,9,11,1230,129,122,104,620,1414,7,1419,1421,2,0,0,,,,,,
2015,8,20,4,AA,1120,N3GRAA,PHX,ORD,1020,1023,3,22,1045,219,224,175,1440,1540,27,1559,1607,8,0,0,,,,,,
2015,7,5,7,AS,630,N570AS,PDX,DFW,2355,32,37,7,39,220,212,196,1616,555,9,535,604,29,0,0,,0,0,29,0,0
2015,9,16,3,WN,2930,N409WN,ATL,PHL,1355,1354,-1,21,1415,130,116,90,666,1545,5,1605,1550,-15,0,0,,,,,,
2015,1,16,5,AS,302,N708AS,SEA,SFO,1755,1916,81,10,1926,123,117,102,679,2108,5,1958,2113,75,0,0,,75,0,0,0,0
2015,9,14,1,AA,1074,N481AA,IND,DFW,755,754,-1,13,807,149,143,111,761,858,19,924,917,-7,0,0,,,,,,
2015,1,8,4,WN,4543,N555LV,SAT,SAN,1555,1600,5,23,1623,185,190,146,1129,1649,21,1700,1710,10,0,0,,,,,,
2015,4,6,1,OO,6199,N932EV,DEN,CID,1230,1221,-9,14,1235,113,105,86,692,1501,5,1523,1506,-17,0,0,,,,,,
2015,4,4,6,US,1865,N769US,BWI,CLT,1715,1707,-8,14,1721,86,82,64,361,1825,4,1841,1829,-12,0,0,,,,,,
2015,10,22,4,UA,1649,N78448,11697,12266,628,624,-4,16,640,162,176,154,966,814,6,810,820,10,0,0,,,,,,
2015,11,8,7,MQ,3631,N652MQ,EYW,MIA,1231,1236,5,9,1245,43,43,28,125,1313,6,1314,1319,5,0,0,,,,,,
2015,5,7,4,DL,2516,N926AT,ATL,VPS,1920,1918,-2,15,1933,73,64,40,250,1913,9,1933,1922,-11,0,0,,,,,,
2015,11,22,7,UA,1530,N69847,EWR,CLE,1554,1644,50,20,1704,95,86,61,404,1805,5,1729,1810,41,0,0,,0,0,0,41,0
2015,3,25,3,VX,475,N849VA,LAS,LAX,1440,1428,-12,13,1441,70,61,42,236,1523,6,1550,1529,-21,0,0,,,,,,
2015,11,19,4,AA,1985,N587UW,SFO,PHX,600,557,-3,15,612,118,113,87,651,839,11,858,850,-8,0,0,,,,,,
2015,12,30,3,EV,4416,N12157,OKC,EWR,719,737,18,22,759,191,182,151,1325,1130,9,1130,1139,9,0,0,,,,,,
2015,3,22,7,EV,5349,N740EV,DTW,BDL,1404,1402,-2,23,1425,97,92,66,549,1531,3,1541,1534,-7,0,0,,,,,,
2015,12,13,7,WN,1071,N419WN,PHX,SNA,840,838,-2,11,849,75,75,59,338,848,5,855,853,-2,0,0,,,,,,
2015,2,15,7,DL,1986,N904DE,ATL,LGA,1745,1742,-3,16,1758,141,136,115,762,1953,5,2006,1958,-8,0,0,,,,,,
2015,3,23,1,EV,6138,N12552,ORD,OKC,910,1532,382,15,1547,141,145,104,693,1731,26,1131,1757,386,0,0,,4,0,4,6,372
2015,1,12,1,MQ,3450,N925MQ,MAF,DFW,1435,1605,90,9,1614,70,92,49,309,1703,34,1545,1737,112,0,0,,22,0,46,44,0
2015,10,14,3,EV,4712,N17984,12266,15412,1257,1255,-2,15,1310,132,125,107,771,1557,3,1609,1600,-9,0,0,,,,,,
2015,11,19,4,WN,501,N384SW,LAS,DEN,1525,1537,12,15,1552,110,107,83,628,1815,9,1815,1824,9,0,0,,,,,,
2015,10,16,5,EV,4929,N738EV,13232,11433,918,911,-7,13,924,72,68,46,228,1110,9,1130,1119,-11,0,0,,,,,,
2015,11,2,1,UA,1562,N13227,ANC,ORD,2000,1954,-6,11,2005,364,348,323,2846,428,14,504,442,-22,0,0,,,,,,
2015,6,14,7,US,2120,N830AW,BOS,DCA,1900,1853,-7,40,1933,98,112,66,399,2039,6,2038,2045,7,0,0,,,,,,
2015,4,14,2,AA,1121,N3FKAA,LGA,DFW,810,805,-5,13,818,240,234,210,1389,1048,11,1110,1059,-11,0,0,,,,,,
2015,9,8,2,WN,172,N477WN,DAL,MSY,1705,1700,-5,8,1708,80,74,61,436,1809,5,1825,1814,-11,0,0,,,,,,
2015,4,22,3,EV,2531,N877AS,LFT,DFW,630,620,-10,31,651,84,121,79,351,810,11,754,821,27,0,0,,27,0,0,0,0
2015,5,19,2,EV,5342,N882AS,EVV,ATL,1740,1745,5,24,1809,79,86,55,350,2004,7,1959,2011,12,0,0,,,,,,
2015,9,27,7,AS,496,N579AS,SEA,SAN,1950,1945,-5,20,2005,154,166,140,1050,2225,6,2224,2231,7,0,0,,,,,,
2015,8,8,6,DL,2280,N953AT,LGA,TPA,820,822,2,25,847,181,184,153,1010,1120,6,1121,1126,5,0,0,,,,,,
2015,5,16,6,EV,2691,N908EV,DFW,BTR,1421,1416,-5,11,1427,79,69,56,383,1523,2,1540,1525,-15,0,0,,,,,,
2015,7,13,1,VX,412,N840VA,LAX,JFK,1330,1432,62,9,1441,330,303,279,2475,2220,15,2200,2235,35,0,0,,0,0,35,0,0
2015,5,19,2,WN,16,N258WN,DAL,DCA,1135,1153,18,8,1201,175,155,142,1184,1523,5,1530,1528,-2,0,0,,,,,,
2015,3,18,3,UA,1759,N37277,ORD,DCA,1300,1255,-5,12,1307,115,98,73,612,1520,13,1555,1533,-22,0,0,,,,,,
2015,5,13,3,DL,42,N970DL,MIA,JFK,1520,1532,12,20,1552,189,173,142,1089,1814,11,1829,1825,-4,0,0,,,,,,
2015,11,18,3,NK,171,N588NK,LGA,FLL,1525,1514,-11,21,1535,189,169,142,1076,1757,6,1834,1803,-31,0,0,,,,,,
2015,5,27,3,US,691,N538UW,CLT,MCO,1300,1300,0,13,1313,95,99,64,468,1417,22,1435,1439,4,0,0,,,,,,
2015,12,22,2,B6,460,N507JB,FLL,BDL,826,831,5,13,844,170,165,147,1173,1111,5,1116,1116,0,0,0,,,,,,
2015,10,29,4,B6,1295,N358JB,12478,10423,2100,2059,-1,14,2113,256,246,228,1521,1,4,16,5,-11,0,0,,,,,,
2015,3,20,5,US,729,N664AW,PHL,SEA,1800,1800,0,101,1941,373,453,346,2378,2227,6,2113,2233,80,0,0,,80,0,0,0,0
2015,10,29,4,DL,2383,N308DE,10397,10599,2000,1959,-1,16,2015,56,45,25,134,1940,4,1956,1944,-12,0,0,,,,,,
2015,9,4,5,AA,2212,N494AA,DFW,STL,1820,1818,-2,11,1829,109,93,76,550,1945,6,2009,1951,-18,0,0,,,,,,
2015,3,15,7,EV,5395,N708EV,LGA,MKE,905,853,-12,18,911,152,130,108,738,959,4,1037,1003,-34,0,0,,,,,,
2015,4,8,3,OO,4581,N8923A,SLC,COS,1530,1524,-6,19,1543,96,95,69,411,1652,7,1706,1659,-7,0,0,,,,,,
2015,7,30,4,WN,2796,N345SA,BWI,CLE,925,923,-2,13,936,70,68,49,314,1025,6,1035,1031,-4,0,0,,,,,,
2015,1,14,3,WN,678,N646SW,MCO,BHM,1630,1629,-1,11,1640,95,98,84,479,1704,3,1705,1707,2,0,0,,,,,,
2015,1,9,5,EV,6075,N24103,FSD,DEN,934,938,4,21,959,114,121,83,483,1022,17,1028,1039,11,0,0,,,,,,
2015,8,7,5,B6,2275,N507JB,BDL,SJU,2045,2051,6,9,2100,229,209,197,1666,17,3,34,20,-14,0,0,,,,,,
2015,2,20,5,DL,2102,N860DA,LAS,ATL,2255,2258,3,18,2316,221,203,173,1747,509,12,536,521,-15,0,0,,,,,,
2015,5,2,6,AS,519,N607AS,SNA,SEA,700,650,-10,24,714,185,167,138,978,932,5,1005,937,-28,0,0,,,,,,
2015,8,10,1,EV,4319,N14168,MKE,EWR,1954,2101,67,12,2113,134,120,100,725,2353,8,2308,1,53,0,0,,0,0,0,53,0
2015,1,23,5,US,1941,N831AW,CLT,ORF,914,912,-2,13,925,62,61,44,290,1009,4,1016,1013,-3,0,0,,,,,,
2015,3,5,4,AA,296,N481AA,DFW,SAT,1720,1720,0,18,1738,66,71,48,247,1826,5,1826,1831,5,0,0,,,,,,
2015,10,28,3,EV,5068,N391CA,10397,11003,1512,1516,4,21,1537,132,128,102,694,1619,5,1624,1624,0,0,0,,,,,,
2015,6,21,7,OO,2827,N930EV,ORD,MKE,829,829,0,11,840,51,33,17,67,857,5,920,902,-18,0,0,,,,,,
2015,9,4,5,WN,1882,N232WN,BOS,BNA,1305,1303,-2,18,1321,170,148,126,942,1427,4,1455,1431,-24,0,0,,,,,,
2015,8,27,4,WN,982,N7811F,FLL,BWI,1710,1707,-3,13,1720,155,131,113,925,1913,5,1945,1918,-27,0,0,,,,,,
2015,12,11,5,WN,1490,N937WN,SJC,LAX,1540,1632,52,9,1641,70,65,50,308,1731,6,1650,1737,47,0,0,,0,0,10,37,0
2015,7,15,3,OO,4789,N616QX,SEA,PHX,1725,1726,1,25,1751,175,172,143,1107,2014,4,2020,2018,-2,0,0,,,,,,
2015,8,4,2,UA,609,N817UA,DCA,ORD,945,940,-5,9,949,123,114,96,612,1025,9,1048,1034,-14,0,0,,,,,,
2015,5,10,7,UA,1602,N77525,ATL,ORD,1714,1726,12,13,1739,136,123,98,606,1817,12,1830,1829,-1,0,0,,,,,,
2015,2,15,7,B6,2783,N274JB,BOS,RDU,1602,1645,43,36,1721,131,132,92,612,1853,4,1813,1857,44,0,0,,1,0,0,0,43
2015,10,12,1,EV,5119,N922EV,15323,10397,1836,1831,-5,27,1858,66,78,41,227,1939,10,1942,1949,7,0,0,,,,,,
2015,8,28,5,OO,4460,N8933B,SLC,LWS,1100,1049,-11,13,1102,94,103,85,461,1127,5,1134,1132,-2,0,0,,,,,,
2015,3,19,4,NK,720,N506NK,DEN,DFW,2055,2057,2,15,2112,107,129,104,641,2356,10,2342,6,24,0,0,,22,0,2,0,0
2015,5,18,1,WN,10,N366SW,HOU,DAL,830,843,13,28,911,60,117,83,239,1034,6,930,1040,70,0,0,,57,0,6,7,0
2015,11,25,3,AA,1110,N3KLAA,ORD,PBI,1845,1845,0,14,1859,185,161,143,1144,2222,4,2250,2226,-24,0,0,,,,,,
2015,7,10,5,EV,4889,N868AS,FAY,ATL,1440,1434,-6,16,1450,82,87,57,331,1547,14,1602,1601,-1,0,0,,,,,,
2015,10,28,3,EV,5403,N607LR,10397,11996,856,913,17,19,932,54,48,25,153,957,4,950,1001,11,0,0,,,,,,
2015,3,21,6,AA,1213,N856AA,DFW,MCO,1422,1542,80,16,1558,145,142,119,985,1857,7,1747,1904,77,0,0,,0,0,77,0,0
2015,8,4,2,WN,2155,N7747C,DCA,BNA,1925,1951,26,57,2048,95,160,98,562,2126,5,2000,2131,91,0,0,,65,0,2,24,0
2015,8,17,1,DL,1777,N920DL,ORD,ATL,1923,2109,106,30,2139,122,127,85,606,4,12,2225,16,111,0,0,,5,0,0,106,0
2015,1,8,4,WN,4024,N8641B,STL,LAS,1740,1738,-2,8,1746,220,226,194,1371,1900,24,1920,1924,4,0,0,,,,,,
2015,7,19,7,AA,2410,N852AA,LAX,DFW,615,611,-4,24,635,197,189,159,1235,1114,6,1132,1120,-12,0,0,,,,,,
2015,6,15,1,EV,5540,N228PQ,ATL,ROA,1405,1404,-1,27,1431,93,92,61,357,1532,4,1538,1536,-2,0,0,,,,,,
2015,10,25,7,AA,719,N581UW,14100,14771,1755,1752,-3,22,1814,371,361,334,2521,2048,5,2106,2053,-13,0,0,,,,,,
2015,6,14,7,DL,1800,N938DN,BWI,ATL,1752,1747,-5,15,1802,127,103,79,577,1921,9,1959,1930,-29,0,0,,,,,,
2015,6,10,3,US,435,N829AW,STL,PHX,740,738,-2,12,750,209,191,171,1262,841,8,909,849,-20,0,0,,,,,,
2015,1,3,6,EV,4996,N710EV,MSP,RST,1322,1318,-4,17,1335,55,36,16,76,1351,3,1417,1354,-23,0,0,,,,,,
2015,5,26,2,NK,719,N626NK,DFW,DEN,1633,1659,26,14,1713,122,113,95,641,1748,4,1735,1752,17,0,0,,0,0,17,0,0
2015,1,21,3,WN,379,N369SW,BOS,STL,620,614,-6,17,631,205,191,167,1047,818,7,845,825,-20,0,0,,,,,,
2015,5,9,6,DL,466,N382DA,SLC,JFK,830,852,22,15,907,274,262,239,1990,1506,8,1504,1514,10,0,0,,,,,,
2015,6,30,2,WN,425,N779SW,DAL,LAS,625,623,-2,8,631,165,151,134,1067,645,9,710,654,-16,0,0,,,,,,
2015,5,16,6,WN,2832,N790SW,CLE,MDW,1040,1040,0,9,1049,70,63,49,307,1038,5,1050,1043,-7,0,0,,,,,,
2015,10,21,3,OO,4729,N8828D,14457,14869,1230,1225,-5,9,1234,110,98,84,508,1358,5,1420,1403,-17,0,0,,,,,,
2015,11,27,5,VX,2,N839VA,DCA,SFO,1710,1704,-6,9,1713,370,385,336,2442,1949,40,2020,2029,9,0,0,,,,,,
2015,11,24,2,AA,315,N859AA,SAT,DFW,1430,1424,-6,14,1438,71,75,49,247,1527,12,1541,1539,-2,0,0,,,,,,
2015,10,19,1,UA,1151,N17752,11423,13930,1123,1130,7,10,1140,86,74,54,299,1234,10,1249,1244,-5,0,0,,,,,,
2015,10,11,7,WN,1521,N616SW,10397,13487,1355,1354,-1,12,1406,175,151,130,907,1516,9,1550,1525,-25,0,0,,,,,,
2015,9,23,3,WN,2201,N556WN,MCO,SJU,920,918,-2,12,930,170,160,143,1189,1153,5,1210,1158,-12,0,0,,,,,,
2015,11,29,7,EV,4236,N48901,IAH,MLU,2115,2111,-4,13,2124,68,57,38,262,2202,6,2223,2208,-15,0,0,,,,,,
2015,8,18,2,EV,5030,N708EV,ATL,HPN,736,734,-2,19,753,138,135,113,780,946,3,954,949,-5,0,0,,,,,,
2015,11,14,6,EV,4886,N740EV,BTR,ATL,830,825,-5,10,835,87,80,63,448,1038,7,1057,1045,-12,0,0,,,,,,
2015,4,6,1,EV,5972,N11192,TYS,ORD,1345,1339,-6,18,1357,109,100,75,475,1412,7,1434,1419,-15,0,0,,,,,,
2015,1,16,5,OO,5207,N952SW,SFO,SAN,1546,1634,48,24,1658,95,94,66,447,1804,4,1721,1808,47,0,0,,0,0,0,47,0
2015,7,7,2,WN,403,N7751A,BWI,ALB,1905,2007,62,10,2017,75,61,48,289,2105,3,2020,2108,48,0,0,,0,0,4,44,0
2015,5,19,2,WN,3748,N447WN,MKE,DCA,830,829,-1,12,841,110,104,84,634,1105,8,1120,1113,-7,0,0,,,,,,
2015,6,10,3,DL,11,N320NB,MSP,SLC,1720,1720,0,11,1731,169,157,141,991,1852,5,1909,1857,-12,0,0,,,,,,
2015,11,4,3,B6,1323,N929JB,JFK,LAX,2230,2226,-4,19,2245,368,369,343,2475,128,7,138,135,-3,0,0,,,,,,
2015,9,25,5,EV,4115,N48901,ORD,FAR,1917,1913,-4,26,1939,112,119,87,557,2106,6,2109,2112,3,0,0,,,,,,
2015,6,26,5,WN,174,N412WN,RDU,MCO,1000,1002,2,6,1008,95,86,74,534,1122,6,1135,1128,-7,0,0,,,,,,
2015,8,28,5,OO,4617,N935SW,FWA,ATL,1107,1158,51,24,1222,121,109,79,508,1341,6,1308,1347,39,0,0,,0,0,0,0,39
2015,4,30,4,WN,1084,N433LV,MCO,MSY,805,803,-2,18,821,105,123,100,551,901,5,850,906,16,0,0,,16,0,0,0,0
2015,7,1,3,EV,4703,N16546,IAH,BRO,2112,2221,69,12,2233,72,71,54,308,2327,5,2224,2332,68,0,0,,0,0,0,68,0
2015,12,29,2,UA,1921,,DEN,LAX,1729,,,,,156,,,862,,,1905,,,0,1,B,,,,,
2015,9,2,3,UA,1751,N37252,IAH,TPA,1922,1920,-2,17,1937,130,128,103,787,2220,8,2232,2228,-4,0,0,,,,,,
2015,10,20,2,NK,724,N615NK,11697,12898,1150,1142,-8,9,1151,154,151,137,980,1408,5,1424,1413,-11,0,0,,,,,,
2015,12,9,3,UA,325,N66831,IAD,LAX,1708,1710,2,22,1732,345,323,290,2288,1922,11,1953,1933,-20,0,0,,,,,,
2015,12,22,2,OO,4776,N606SK,SEA,JAC,804,756,-8,14,810,110,104,86,621,1036,4,1054,1040,-14,0,0,,,,,,
2015,7,3,5,DL,1111,N940DN,ATL,ROC,2056,2110,14,14,2124,131,113,96,749,2300,3,2307,2303,-4,0,0,,,,,,
2015,11,20,5,B6,795,N193JB,JFK,AUS,1244,,,,,250,,,1521,,,1554,,,0,1,C,,,,,
2015,4,5,7,MQ,3600,N856MQ,DFW,SAF,1519,1518,-1,11,1529,115,97,83,551,1552,3,1614,1555,-19,0,0,,,,,,
2015,5,14,4,DL,2026,N670DN,FLL,ATL,1250,1242,-8,13,1255,121,112,80,581,1415,19,1451,1434,-17,0,0,,,,,,
2015,11,8,7,DL,752,N327NW,MSP,GRR,1944,1942,-2,17,1959,87,79,58,408,2157,4,2211,2201,-10,0,0,,,,,,
2015,4,7,2,EV,4669,N14573,CLE,STL,1912,1905,-7,9,1914,101,93,80,487,1934,4,1953,1938,-15,0,0,,,,,,
2015,1,1,4,AA,1301,N487AA,MSP,DFW,820,,,,,160,,,852,,,1100,,,0,1,B,,,,,
2015,9,11,5,OO,4507,N936SW,ATL,SBN,907,905,-2,27,932,110,111,79,566,1051,5,1057,1056,-1,0,0,,,,,,
2015,6,8,1,OO,5577,N716SK,AUS,IAH,620,626,6,17,643,52,52,30,140,713,5,712,718,6,0,0,,,,,,
2015,3,25,3,DL,965,N6712B,SLC,MSP,831,829,-2,16,845,148,142,123,991,1148,3,1159,1151,-8,0,0,,,,,,
2015,2,16,1,DL,873,N6713Y,STT,ATL,1745,1835,50,12,1847,250,260,236,1599,2143,12,2055,2155,60,0,0,,10,0,50,0,0
2015,11,16,1,OO,2994,N821AS,FLG,PHX,1125,1126,1,47,1213,53,80,26,119,1239,7,1218,1246,28,0,0,,27,0,0,0,1
2015,2,5,4,WN,3497,N906WN,SFO,ATL,840,842,2,34,916,270,288,245,2139,1621,9,1610,1630,20,0,0,,20,0,0,0,0
2015,7,7,2,DL,1639,N322US,MCI,SLC,545,541,-4,11,552,157,151,134,920,706,6,722,712,-10,0,0,,,,,,
2015,2,9,1,B6,2679,N284JB,BOS,EWR,1859,1854,-5,90,2024,92,164,66,200,2130,8,2031,2138,67,0,0,,67,0,0,0,0
2015,1,21,3,UA,1045,N54711,ORD,LAS,1700,1658,-2,11,1709,246,216,198,1514,1827,7,1906,1834,-32,0,0,,,,,,
2015,8,8,6,OO,4622,N692CA,MSY,DTW,1055,1050,-5,19,1109,155,153,123,926,1412,11,1430,1423,-7,0,0,,,,,,
2015,4,17,5,WN,2852,N603SW,GEG,OAK,755,750,-5,8,758,125,117,104,723,942,5,1000,947,-13,0,0,,,,,,
2015,2,21,6,WN,3506,N247WN,RDU,TPA,1205,1202,-3,7,1209,115,100,88,587,1337,5,1400,1342,-18,0,0,,,,,,
2015,11,10,2,B6,2283,N238JB,BOS,RDU,637,630,-7,23,653,125,126,99,612,832,4,842,836,-6,0,0,,,,,,
2015,5,7,4,EV,4601,N14105,CHS,IAH,635,636,1,17,653,165,168,144,925,817,7,820,824,4,0,0,,,,,,
2015,12,16,3,OO,4450,N822SK,LAS,SEA,1820,1818,-2,21,1839,174,176,149,867,2108,6,2114,2114,0,0,0,,,,,,
2015,5,8,5,DL,1562,N927AT,BOS,JFK,845,955,70,15,1010,79,75,50,187,1100,10,1004,1110,66,0,0,,50,0,0,16,0
2015,12,16,3,DL,2806,N936AT,SJC,LAX,1831,1829,-2,10,1839,84,78,50,308,1929,18,1955,1947,-8,0,0,,,,,,
2015,3,30,1,AA,1408,N436AA,DFW,OKC,2030,2024,-6,20,2044,66,61,35,175,2119,6,2136,2125,-11,0,0,,,,,,
2015,6,22,1,US,2144,N944UW,DCA,LGA,700,655,-5,27,722,75,80,41,214,803,12,815,815,0,0,0,,,,,,
2015,3,29,7,US,1793,N586UW,CLT,PIT,2210,2212,2,12,2224,76,73,57,366,2321,4,2326,2325,-1,0,0,,,,,,
2015,10,2,5,AA,604,N571UW,10529,11057,800,757,-3,27,824,138,140,106,644,1010,7,1018,1017,-1,0,0,,,,,,
2015,9,1,2,UA,356,N823UA,EWR,LAS,2050,2053,3,26,2119,359,308,277,2227,2256,5,2349,2301,-48,0,0,,,,,,
2015,1,24,6,AA,1149,N513AA,DFW,SJC,1625,1719,54,22,1741,230,213,187,1438,1848,4,1815,1852,37,0,0,,0,0,13,24,0
2015,6,30,2,EV,4323,N12201,SYR,EWR,1108,1059,-9,51,1150,82,99,41,195,1231,7,1230,1238,8,0,0,,,,,,
2015,12,11,5,DL,1696,N958DL,ATL,BDL,949,953,4,15,1008,136,132,114,859,1202,3,1205,1205,0,0,0,,,,,,
2015,5,7,4,MQ,3674,N669MQ,FWA,ORD,1130,1122,-8,13,1135,59,61,37,157,1112,11,1129,1123,-6,0,0,,,,,,
2015,8,22,6,AA,280,N7BSAA,DFW,MIA,1845,1845,0,16,1901,180,159,138,1121,2219,5,2245,2224,-21,0,0,,,,,,
2015,7,10,5,DL,2029,N934DN,LGA,ATL,1359,1412,13,52,1504,163,161,104,762,1648,5,1642,1653,11,0,0,,,,,,
