date_of_journey,month,day_of_week,airline,flight_number,tail_number,origin_airport,destination_airport,scheduled_departure,departure_time,departure_delay,taxi_out,takeoff_time,scheduled_time,elapsed_time,air_time,distance,landing_time,taxi_in,scheduled_arrival,arrival_time,arrival_delay,diverted,cancelled,cancellation_reason,air_system_delay,security_delay,airline_delay,late_aircraft_delay,weather_delay
2015-11-06,November,Friday,MQ,3268,N843MQ,CVG,ORD,20:43:00,20:41:00,-2.0,17.0,20:58:00,87.0,79.0,46.0,264,20:44:00,16.0,21:10:00,21:00:00,-10.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-02-02,February,Monday,WN,2494,N8302F,ATL,MDW,06:05:00,06:05:00,0.0,14.0,06:19:00,115.0,114.0,93.0,591,06:52:00,7.0,07:00:00,06:59:00,-1.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-01-05,January,Monday,DL,815,N939DL,ATL,SYR,20:35:00,20:33:00,-2.0,13.0,20:46:00,131.0,117.0,100.0,794,22:26:00,4.0,22:46:00,22:30:00,-16.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-05-23,May,Saturday,AA,321,N3LSAA,ORD,DCA,18:20:00,18:16:00,-4.0,22.0,18:38:00,122.0,110.0,82.0,612,21:00:00,6.0,21:22:00,21:06:00,-16.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-04-15,April,Wednesday,OO,5580,N118SY,ORD,MSP,07:55:00,07:49:00,-6.0,12.0,08:01:00,89.0,75.0,59.0,334,09:00:00,4.0,09:24:00,09:04:00,-20.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-01-28,January,Wednesday,DL,7,N539US,ATL,MIA,08:45:00,08:48:00,3.0,13.0,09:01:00,113.0,95.0,77.0,594,10:18:00,5.0,10:38:00,10:23:00,-15.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-03-28,March,Saturday,EV,5994,N12922,BUF,ORD,10:28:00,10:14:00,-14.0,17.0,10:31:00,112.0,98.0,72.0,473,10:43:00,9.0,11:20:00,10:52:00,-28.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-07-13,July,Monday,HA,131,N488HA,ITO,HNL,16:31:00,16:37:00,6.0,8.0,16:45:00,52.0,49.0,36.0,216,17:21:00,5.0,17:23:00,17:26:00,3.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-08-22,August,Saturday,F9,705,N905FR,ATL,MSY,19:05:00,18:59:00,-6.0,13.0,19:12:00,95.0,82.0,64.0,425,19:16:00,5.0,19:40:00,19:21:00,-19.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-09-29,September,Tuesday,EV,6144,N12540,ABE,ORD,17:22:00,17:20:00,-2.0,8.0,17:28:00,128.0,136.0,115.0,654,18:23:00,13.0,18:30:00,18:36:00,6.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-07-23,July,Thursday,DL,2805,N603AT,MOB,ATL,07:26:00,07:20:00,-6.0,19.0,07:39:00,75.0,74.0,46.0,302,09:25:00,9.0,09:41:00,09:34:00,-7.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-12-11,December,Friday,DL,1384,N3766,LAX,SEA,14:25:00,14:20:00,-5.0,17.0,14:37:00,174.0,171.0,145.0,954,17:02:00,9.0,17:19:00,17:11:00,-8.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-12-01,December,Tuesday,B6,318,N265JB,JFK,BOS,06:30:00,06:23:00,-7.0,15.0,06:38:00,67.0,65.0,45.0,187,07:23:00,5.0,07:37:00,07:28:00,-9.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-04-10,April,Friday,AA,10,N790AA,LAX,JFK,21:55:00,21:47:00,-8.0,17.0,22:04:00,328.0,311.0,287.0,2475,05:51:00,7.0,06:23:00,05:58:00,-25.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-12-25,December,Friday,AA,1634,N4XCAA,DFW,DEN,15:40:00,15:36:00,-4.0,16.0,15:52:00,124.0,113.0,91.0,641,16:23:00,6.0,16:44:00,16:29:00,-15.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-05-21,May,Thursday,AA,1697,N3JMAA,SAN,ORD,11:13:00,11:05:00,-8.0,22.0,11:27:00,247.0,240.0,199.0,1723,16:46:00,19.0,17:20:00,17:05:00,-15.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-01-25,January,Sunday,DL,1227,N952DL,DTW,RSW,14:06:00,14:01:00,-5.0,21.0,14:22:00,192.0,176.0,151.0,1084,16:53:00,4.0,17:18:00,16:57:00,-21.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-12-07,December,Monday,EV,5161,N900EV,ATL,VLD,14:53:00,14:50:00,-3.0,17.0,15:07:00,62.0,57.0,36.0,208,15:43:00,4.0,15:55:00,15:47:00,-8.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-07-19,July,Sunday,WN,35,N621SW,BNA,BWI,19:20:00,19:41:00,21.0,10.0,19:51:00,105.0,118.0,78.0,587,22:09:00,30.0,22:05:00,22:39:00,34.0,0,0,Not Cancelled,13.0,0.0,0.0,21.0,0.0
2015-07-09,July,Thursday,WN,1017,N521SW,AUS,DAL,06:30:00,06:28:00,-2.0,13.0,06:41:00,60.0,57.0,40.0,189,07:21:00,4.0,07:30:00,07:25:00,-5.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-04-19,April,Sunday,AA,2211,N3GUAA,DFW,SNA,21:13:00,21:14:00,1.0,13.0,21:27:00,192.0,182.0,164.0,1205,22:11:00,5.0,22:25:00,22:16:00,-9.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-02-03,February,Tuesday,AA,1483,N3HTAA,MIA,LGA,16:10:00,16:03:00,-7.0,9.0,16:12:00,175.0,156.0,143.0,1096,18:35:00,4.0,19:05:00,18:39:00,-26.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-06-12,June,Friday,AS,794,N625AS,SEA,ABQ,10:50:00,10:48:00,-2.0,18.0,11:06:00,209.0,167.0,142.0,1180,14:28:00,7.0,15:19:00,14:35:00,-44.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-07-07,July,Tuesday,AA,407,N559UW,PHL,ORD,07:45:00,07:50:00,5.0,17.0,08:07:00,144.0,144.0,112.0,678,08:59:00,15.0,09:09:00,09:14:00,5.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-08-17,August,Monday,AA,193,N3GLAA,ORD,SFO,12:07:00,12:13:00,6.0,29.0,12:42:00,286.0,319.0,288.0,1846,15:30:00,2.0,14:53:00,15:32:00,39.0,0,0,Not Cancelled,33.0,0.0,6.0,0.0,0.0
2015-11-18,November,Wednesday,DL,1235,N955AT,MDT,ATL,12:10:00,12:19:00,9.0,11.0,12:30:00,129.0,122.0,104.0,620,14:14:00,7.0,14:19:00,14:21:00,2.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-08-20,August,Thursday,AA,1120,N3GRAA,PHX,ORD,10:20:00,10:23:00,3.0,22.0,10:45:00,219.0,224.0,175.0,1440,15:40:00,27.0,15:59:00,16:07:00,8.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-07-05,July,Sunday,AS,630,N570AS,PDX,DFW,23:55:00,00:32:00,37.0,7.0,00:39:00,220.0,212.0,196.0,1616,05:55:00,9.0,05:35:00,06:04:00,29.0,0,0,Not Cancelled,0.0,0.0,29.0,0.0,0.0
2015-09-16,September,Wednesday,WN,2930,N409WN,ATL,PHL,13:55:00,13:54:00,-1.0,21.0,14:15:00,130.0,116.0,90.0,666,15:45:00,5.0,16:05:00,15:50:00,-15.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-01-16,January,Friday,AS,302,N708AS,SEA,SFO,17:55:00,19:16:00,81.0,10.0,19:26:00,123.0,117.0,102.0,679,21:08:00,5.0,19:58:00,21:13:00,75.0,0,0,Not Cancelled,75.0,0.0,0.0,0.0,0.0
2015-09-14,September,Monday,AA,1074,N481AA,IND,DFW,07:55:00,07:54:00,-1.0,13.0,08:07:00,149.0,143.0,111.0,761,08:58:00,19.0,09:24:00,09:17:00,-7.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-01-08,January,Thursday,WN,4543,N555LV,SAT,SAN,15:55:00,16:00:00,5.0,23.0,16:23:00,185.0,190.0,146.0,1129,16:49:00,21.0,17:00:00,17:10:00,10.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-04-06,April,Monday,OO,6199,N932EV,DEN,CID,12:30:00,12:21:00,-9.0,14.0,12:35:00,113.0,105.0,86.0,692,15:01:00,5.0,15:23:00,15:06:00,-17.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-04-04,April,Saturday,US,1865,N769US,BWI,CLT,17:15:00,17:07:00,-8.0,14.0,17:21:00,86.0,82.0,64.0,361,18:25:00,4.0,18:41:00,18:29:00,-12.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-10-22,October,Thursday,UA,1649,N78448,11697,12266,06:28:00,06:24:00,-4.0,16.0,06:40:00,162.0,176.0,154.0,966,08:14:00,6.0,08:10:00,08:20:00,10.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-11-08,November,Sunday,MQ,3631,N652MQ,EYW,MIA,12:31:00,12:36:00,5.0,9.0,12:45:00,43.0,43.0,28.0,125,13:13:00,6.0,13:14:00,13:19:00,5.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-05-07,May,Thursday,DL,2516,N926AT,ATL,VPS,19:20:00,19:18:00,-2.0,15.0,19:33:00,73.0,64.0,40.0,250,19:13:00,9.0,19:33:00,19:22:00,-11.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-11-22,November,Sunday,UA,1530,N69847,EWR,CLE,15:54:00,16:44:00,50.0,20.0,17:04:00,95.0,86.0,61.0,404,18:05:00,5.0,17:29:00,18:10:00,41.0,0,0,Not Cancelled,0.0,0.0,0.0,41.0,0.0
2015-03-25,March,Wednesday,VX,475,N849VA,LAS,LAX,14:40:00,14:28:00,-12.0,13.0,14:41:00,70.0,61.0,42.0,236,15:23:00,6.0,15:50:00,15:29:00,-21.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-11-19,November,Thursday,AA,1985,N587UW,SFO,PHX,06:00:00,05:57:00,-3.0,15.0,06:12:00,118.0,113.0,87.0,651,08:39:00,11.0,08:58:00,08:50:00,-8.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-12-30,December,Wednesday,EV,4416,N12157,OKC,EWR,07:19:00,07:37:00,18.0,22.0,07:59:00,191.0,182.0,151.0,1325,11:30:00,9.0,11:30:00,11:39:00,9.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-03-22,March,Sunday,EV,5349,N740EV,DTW,BDL,14:04:00,14:02:00,-2.0,23.0,14:25:00,97.0,92.0,66.0,549,15:31:00,3.0,15:41:00,15:34:00,-7.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-12-13,December,Sunday,WN,1071,N419WN,PHX,SNA,08:40:00,08:38:00,-2.0,11.0,08:49:00,75.0,75.0,59.0,338,08:48:00,5.0,08:55:00,08:53:00,-2.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-02-15,February,Sunday,DL,1986,N904DE,ATL,LGA,17:45:00,17:42:00,-3.0,16.0,17:58:00,141.0,136.0,115.0,762,19:53:00,5.0,20:06:00,19:58:00,-8.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-03-23,March,Monday,EV,6138,N12552,ORD,OKC,09:10:00,15:32:00,382.0,15.0,15:47:00,141.0,145.0,104.0,693,17:31:00,26.0,11:31:00,17:57:00,386.0,0,0,Not Cancelled,4.0,0.0,4.0,6.0,372.0
2015-01-12,January,Monday,MQ,3450,N925MQ,MAF,DFW,14:35:00,16:05:00,90.0,9.0,16:14:00,70.0,92.0,49.0,309,17:03:00,34.0,15:45:00,17:37:00,112.0,0,0,Not Cancelled,22.0,0.0,46.0,44.0,0.0
2015-10-14,October,Wednesday,EV,4712,N17984,12266,15412,12:57:00,12:55:00,-2.0,15.0,13:10:00,132.0,125.0,107.0,771,15:57:00,3.0,16:09:00,16:00:00,-9.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-11-19,November,Thursday,WN,501,N384SW,LAS,DEN,15:25:00,15:37:00,12.0,15.0,15:52:00,110.0,107.0,83.0,628,18:15:00,9.0,18:15:00,18:24:00,9.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-10-16,October,Friday,EV,4929,N738EV,13232,11433,09:18:00,09:11:00,-7.0,13.0,09:24:00,72.0,68.0,46.0,228,11:10:00,9.0,11:30:00,11:19:00,-11.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-11-02,November,Monday,UA,1562,N13227,ANC,ORD,20:00:00,19:54:00,-6.0,11.0,20:05:00,364.0,348.0,323.0,2846,04:28:00,14.0,05:04:00,04:42:00,-22.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-06-14,June,Sunday,US,2120,N830AW,BOS,DCA,19:00:00,18:53:00,-7.0,40.0,19:33:00,98.0,112.0,66.0,399,20:39:00,6.0,20:38:00,20:45:00,7.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-04-14,April,Tuesday,AA,1121,N3FKAA,LGA,DFW,08:10:00,08:05:00,-5.0,13.0,08:18:00,240.0,234.0,210.0,1389,10:48:00,11.0,11:10:00,10:59:00,-11.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-09-08,September,Tuesday,WN,172,N477WN,DAL,MSY,17:05:00,17:00:00,-5.0,8.0,17:08:00,80.0,74.0,61.0,436,18:09:00,5.0,18:25:00,18:14:00,-11.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-04-22,April,Wednesday,EV,2531,N877AS,LFT,DFW,06:30:00,06:20:00,-10.0,31.0,06:51:00,84.0,121.0,79.0,351,08:10:00,11.0,07:54:00,08:21:00,27.0,0,0,Not Cancelled,27.0,0.0,0.0,0.0,0.0
2015-05-19,May,Tuesday,EV,5342,N882AS,EVV,ATL,17:40:00,17:45:00,5.0,24.0,18:09:00,79.0,86.0,55.0,350,20:04:00,7.0,19:59:00,20:11:00,12.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-09-27,September,Sunday,AS,496,N579AS,SEA,SAN,19:50:00,19:45:00,-5.0,20.0,20:05:00,154.0,166.0,140.0,1050,22:25:00,6.0,22:24:00,22:31:00,7.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-08-08,August,Saturday,DL,2280,N953AT,LGA,TPA,08:20:00,08:22:00,2.0,25.0,08:47:00,181.0,184.0,153.0,1010,11:20:00,6.0,11:21:00,11:26:00,5.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-05-16,May,Saturday,EV,2691,N908EV,DFW,BTR,14:21:00,14:16:00,-5.0,11.0,14:27:00,79.0,69.0,56.0,383,15:23:00,2.0,15:40:00,15:25:00,-15.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-07-13,July,Monday,VX,412,N840VA,LAX,JFK,13:30:00,14:32:00,62.0,9.0,14:41:00,330.0,303.0,279.0,2475,22:20:00,15.0,22:00:00,22:35:00,35.0,0,0,Not Cancelled,0.0,0.0,35.0,0.0,0.0
2015-05-19,May,Tuesday,WN,16,N258WN,DAL,DCA,11:35:00,11:53:00,18.0,8.0,12:01:00,175.0,155.0,142.0,1184,15:23:00,5.0,15:30:00,15:28:00,-2.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-03-18,March,Wednesday,UA,1759,N37277,ORD,DCA,13:00:00,12:55:00,-5.0,12.0,13:07:00,115.0,98.0,73.0,612,15:20:00,13.0,15:55:00,15:33:00,-22.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-05-13,May,Wednesday,DL,42,N970DL,MIA,JFK,15:20:00,15:32:00,12.0,20.0,15:52:00,189.0,173.0,142.0,1089,18:14:00,11.0,18:29:00,18:25:00,-4.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-11-18,November,Wednesday,NK,171,N588NK,LGA,FLL,15:25:00,15:14:00,-11.0,21.0,15:35:00,189.0,169.0,142.0,1076,17:57:00,6.0,18:34:00,18:03:00,-31.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-05-27,May,Wednesday,US,691,N538UW,CLT,MCO,13:00:00,13:00:00,0.0,13.0,13:13:00,95.0,99.0,64.0,468,14:17:00,22.0,14:35:00,14:39:00,4.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-12-22,December,Tuesday,B6,460,N507JB,FLL,BDL,08:26:00,08:31:00,5.0,13.0,08:44:00,170.0,165.0,147.0,1173,11:11:00,5.0,11:16:00,11:16:00,0.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-10-29,October,Thursday,B6,1295,N358JB,12478,10423,21:00:00,20:59:00,-1.0,14.0,21:13:00,256.0,246.0,228.0,1521,00:01:00,4.0,00:16:00,00:05:00,-11.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-03-20,March,Friday,US,729,N664AW,PHL,SEA,18:00:00,18:00:00,0.0,101.0,19:41:00,373.0,453.0,346.0,2378,22:27:00,6.0,21:13:00,22:33:00,80.0,0,0,Not Cancelled,80.0,0.0,0.0,0.0,0.0
2015-10-29,October,Thursday,DL,2383,N308DE,10397,10599,20:00:00,19:59:00,-1.0,16.0,20:15:00,56.0,45.0,25.0,134,19:40:00,4.0,19:56:00,19:44:00,-12.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-09-04,September,Friday,AA,2212,N494AA,DFW,STL,18:20:00,18:18:00,-2.0,11.0,18:29:00,109.0,93.0,76.0,550,19:45:00,6.0,20:09:00,19:51:00,-18.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-03-15,March,Sunday,EV,5395,N708EV,LGA,MKE,09:05:00,08:53:00,-12.0,18.0,09:11:00,152.0,130.0,108.0,738,09:59:00,4.0,10:37:00,10:03:00,-34.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-04-08,April,Wednesday,OO,4581,N8923A,SLC,COS,15:30:00,15:24:00,-6.0,19.0,15:43:00,96.0,95.0,69.0,411,16:52:00,7.0,17:06:00,16:59:00,-7.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-07-30,July,Thursday,WN,2796,N345SA,BWI,CLE,09:25:00,09:23:00,-2.0,13.0,09:36:00,70.0,68.0,49.0,314,10:25:00,6.0,10:35:00,10:31:00,-4.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-01-14,January,Wednesday,WN,678,N646SW,MCO,BHM,16:30:00,16:29:00,-1.0,11.0,16:40:00,95.0,98.0,84.0,479,17:04:00,3.0,17:05:00,17:07:00,2.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-01-09,January,Friday,EV,6075,N24103,FSD,DEN,09:34:00,09:38:00,4.0,21.0,09:59:00,114.0,121.0,83.0,483,10:22:00,17.0,10:28:00,10:39:00,11.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-08-07,August,Friday,B6,2275,N507JB,BDL,SJU,20:45:00,20:51:00,6.0,9.0,21:00:00,229.0,209.0,197.0,1666,00:17:00,3.0,00:34:00,00:20:00,-14.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-02-20,February,Friday,DL,2102,N860DA,LAS,ATL,22:55:00,22:58:00,3.0,18.0,23:16:00,221.0,203.0,173.0,1747,05:09:00,12.0,05:36:00,05:21:00,-15.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-05-02,May,Saturday,AS,519,N607AS,SNA,SEA,07:00:00,06:50:00,-10.0,24.0,07:14:00,185.0,167.0,138.0,978,09:32:00,5.0,10:05:00,09:37:00,-28.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-08-10,August,Monday,EV,4319,N14168,MKE,EWR,19:54:00,21:01:00,67.0,12.0,21:13:00,134.0,120.0,100.0,725,23:53:00,8.0,23:08:00,00:01:00,53.0,0,0,Not Cancelled,0.0,0.0,0.0,53.0,0.0
2015-01-23,January,Friday,US,1941,N831AW,CLT,ORF,09:14:00,09:12:00,-2.0,13.0,09:25:00,62.0,61.0,44.0,290,10:09:00,4.0,10:16:00,10:13:00,-3.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-03-05,March,Thursday,AA,296,N481AA,DFW,SAT,17:20:00,17:20:00,0.0,18.0,17:38:00,66.0,71.0,48.0,247,18:26:00,5.0,18:26:00,18:31:00,5.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-10-28,October,Wednesday,EV,5068,N391CA,10397,11003,15:12:00,15:16:00,4.0,21.0,15:37:00,132.0,128.0,102.0,694,16:19:00,5.0,16:24:00,16:24:00,0.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-06-21,June,Sunday,OO,2827,N930EV,ORD,MKE,08:29:00,08:29:00,0.0,11.0,08:40:00,51.0,33.0,17.0,67,08:57:00,5.0,09:20:00,09:02:00,-18.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-09-04,September,Friday,WN,1882,N232WN,BOS,BNA,13:05:00,13:03:00,-2.0,18.0,13:21:00,170.0,148.0,126.0,942,14:27:00,4.0,14:55:00,14:31:00,-24.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-08-27,August,Thursday,WN,982,N7811F,FLL,BWI,17:10:00,17:07:00,-3.0,13.0,17:20:00,155.0,131.0,113.0,925,19:13:00,5.0,19:45:00,19:18:00,-27.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-12-11,December,Friday,WN,1490,N937WN,SJC,LAX,15:40:00,16:32:00,52.0,9.0,16:41:00,70.0,65.0,50.0,308,17:31:00,6.0,16:50:00,17:37:00,47.0,0,0,Not Cancelled,0.0,0.0,10.0,37.0,0.0
2015-07-15,July,Wednesday,OO,4789,N616QX,SEA,PHX,17:25:00,17:26:00,1.0,25.0,17:51:00,175.0,172.0,143.0,1107,20:14:00,4.0,20:20:00,20:18:00,-2.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-08-04,August,Tuesday,UA,609,N817UA,DCA,ORD,09:45:00,09:40:00,-5.0,9.0,09:49:00,123.0,114.0,96.0,612,10:25:00,9.0,10:48:00,10:34:00,-14.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-05-10,May,Sunday,UA,1602,N77525,ATL,ORD,17:14:00,17:26:00,12.0,13.0,17:39:00,136.0,123.0,98.0,606,18:17:00,12.0,18:30:00,18:29:00,-1.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-02-15,February,Sunday,B6,2783,N274JB,BOS,RDU,16:02:00,16:45:00,43.0,36.0,17:21:00,131.0,132.0,92.0,612,18:53:00,4.0,18:13:00,18:57:00,44.0,0,0,Not Cancelled,1.0,0.0,0.0,0.0,43.0
